Date,Open,High,Low,Close,Adj Close,Volume
2021-08-05,16.524000,16.524000,16.524000,16.524000,16.524000,0
2021-08-06,16.584000,16.584000,16.584000,16.584000,16.584000,0
2021-08-09,16.643999,16.643999,16.643999,16.643999,16.643999,0
2021-08-10,17.214001,17.214001,17.214001,17.214001,17.214001,0
2021-08-11,17.614000,17.614000,17.614000,17.614000,17.614000,0
2021-08-12,17.584000,17.584000,17.584000,17.584000,17.584000,0
2021-08-13,17.191999,17.191999,17.191999,17.191999,17.191999,0
2021-08-16,17.530001,17.530001,17.530001,17.530001,17.530001,0
2021-08-17,17.160000,17.160000,17.160000,17.160000,17.160000,0
2021-08-18,17.403999,17.403999,17.403999,17.403999,17.403999,0
2021-08-19,17.158001,17.158001,17.158001,17.158001,17.158001,0
2021-08-20,17.052000,17.052000,17.052000,17.052000,17.052000,0
2021-08-23,17.125999,17.125999,17.125999,17.125999,17.125999,0
2021-08-24,17.629999,17.662001,17.629999,17.662001,17.662001,47
2021-08-25,17.732000,17.732000,17.732000,17.732000,17.732000,0
2021-08-26,18.153999,18.153999,18.153999,18.153999,18.153999,0
2021-08-27,18.084000,18.084000,18.084000,18.084000,18.084000,0
2021-08-30,18.358000,18.358000,18.358000,18.358000,18.358000,0
2021-08-31,17.884001,17.884001,17.884001,17.884001,17.884001,0
2021-09-01,17.884001,17.884001,17.884001,17.884001,17.884001,0
2021-09-02,17.879999,17.879999,17.879999,17.879999,17.879999,0
2021-09-03,18.048000,18.048000,18.048000,18.048000,18.048000,0
2021-09-06,18.392000,18.757999,18.392000,18.757999,18.757999,115
2021-09-07,18.809999,19.160000,18.809999,19.160000,19.160000,1
2021-09-08,18.670000,18.670000,18.670000,18.670000,18.670000,0
2021-09-09,18.548000,18.548000,18.548000,18.548000,18.548000,0
2021-09-10,18.448000,18.448000,18.448000,18.448000,18.448000,0
2021-09-13,18.243999,18.243999,18.243999,18.243999,18.243999,0
2021-09-14,18.694000,18.694000,18.694000,18.694000,18.694000,77
2021-09-15,18.389999,18.398001,18.389999,18.398001,18.398001,0
2021-09-16,18.132000,18.132000,18.132000,18.132000,18.132000,0
2021-09-17,18.282000,18.282000,18.282000,18.282000,18.282000,0
2021-09-20,18.408001,18.441999,18.408001,18.441999,18.441999,10
2021-09-21,19.252001,19.252001,19.252001,19.252001,19.252001,0
2021-09-22,19.096001,19.308001,19.048000,19.308001,19.308001,520
2021-09-23,19.030001,19.030001,19.030001,19.030001,19.030001,0
2021-09-24,19.482000,19.868000,19.482000,19.868000,19.868000,82
2021-09-27,20.115000,20.115000,20.105000,20.105000,20.105000,100
2021-09-28,19.778000,19.778000,19.778000,19.778000,19.778000,0
2021-09-29,20.245001,20.245001,20.245001,20.245001,20.245001,0
2021-09-30,20.315001,20.315001,20.315001,20.315001,20.315001,0
2021-10-01,20.040001,20.040001,20.040001,20.040001,20.040001,0
2021-10-04,20.565001,20.565001,20.200001,20.200001,20.200001,200
2021-10-05,20.510000,20.510000,20.510000,20.510000,20.510000,0
2021-10-06,19.558001,19.558001,19.558001,19.558001,19.558001,0
2021-10-07,19.308001,19.308001,19.308001,19.308001,19.308001,0
2021-10-08,19.278000,19.278000,19.278000,19.278000,19.278000,0
2021-10-11,19.746000,19.746000,19.746000,19.746000,19.746000,0
2021-10-12,19.285999,19.285999,19.285999,19.285999,19.285999,0
2021-10-13,19.164000,19.164000,19.164000,19.164000,19.164000,0
2021-10-14,18.865999,18.865999,18.865999,18.865999,18.865999,0
2021-10-15,18.672001,18.672001,18.672001,18.672001,18.672001,0
2021-10-18,18.632000,18.632000,18.632000,18.632000,18.632000,0
2021-10-19,18.128000,18.128000,18.128000,18.128000,18.128000,0
2021-10-20,18.680000,18.680000,18.680000,18.680000,18.680000,0
2021-10-21,18.392000,18.392000,18.392000,18.392000,18.392000,0
2021-10-22,18.532000,18.532000,18.532000,18.532000,18.532000,0
2021-10-25,18.356001,18.356001,18.356001,18.356001,18.356001,0
2021-10-26,18.365999,18.365999,18.365999,18.365999,18.365999,0
2021-10-27,18.087999,18.087999,18.087999,18.087999,18.087999,0
2021-10-28,18.417999,18.544001,18.417999,18.544001,18.544001,27
2021-10-29,18.268000,18.268000,18.268000,18.268000,18.268000,0
2021-11-01,18.388000,18.972000,18.388000,18.972000,18.972000,537
2021-11-02,18.796000,18.796000,18.796000,18.796000,18.796000,0
2021-11-03,18.802000,19.351999,18.802000,19.351999,19.351999,267
2021-11-04,18.822001,18.822001,18.822001,18.822001,18.822001,0
2021-11-05,18.860001,19.336000,18.860001,19.336000,19.336000,810
2021-11-08,19.823999,19.823999,19.823999,19.823999,19.823999,0
2021-11-09,19.510000,19.510000,19.510000,19.510000,19.510000,0
2021-11-10,19.124001,19.252001,18.846001,19.252001,19.252001,1200
2021-11-11,19.046000,19.046000,19.046000,19.046000,19.046000,0
2021-11-12,19.260000,19.260000,19.260000,19.260000,19.260000,0
2021-11-15,19.004000,19.004000,19.004000,19.004000,19.004000,0
2021-11-16,19.082001,19.091999,19.082001,19.091999,19.091999,3
2021-11-17,18.566000,18.566000,18.566000,18.566000,18.566000,0
2021-11-18,18.705999,18.705999,18.705999,18.705999,18.705999,0
2021-11-19,18.209999,18.209999,18.209999,18.209999,18.209999,0
2021-11-22,18.143999,18.143999,18.143999,18.143999,18.143999,0
2021-11-23,18.049999,18.393999,18.049999,18.393999,18.393999,38
2021-11-24,17.794001,17.794001,17.794001,17.794001,17.794001,0
2021-11-25,17.468000,17.468000,17.468000,17.468000,17.468000,0
2021-11-26,17.000000,17.000000,17.000000,17.000000,17.000000,303
2021-11-29,15.866000,15.866000,15.866000,15.866000,15.866000,0
2021-11-30,15.878000,15.888000,15.878000,15.888000,15.888000,70
2021-12-01,15.896000,15.896000,15.896000,15.896000,15.896000,0
2021-12-02,15.570000,15.878000,15.570000,15.878000,15.878000,200
2021-12-03,16.452000,16.452000,16.452000,16.452000,16.452000,0
2021-12-06,16.191999,16.771999,16.191999,16.771999,16.771999,300
2021-12-07,16.832001,16.832001,16.832001,16.832001,16.832001,0
2021-12-08,16.926001,16.926001,16.926001,16.926001,16.926001,0
2021-12-09,16.993999,16.993999,16.993999,16.993999,16.993999,0
